Project,Overall Score,Developer Experience,Technical Performance,Business Impact,Confidence,Data Source,Processing Time,Code Review Duration,Debugging Time,Build Time,Test Coverage,Active Contributors,Time to Market
microsoft/TypeScript,57,31,76,28,90,github,17.99,470.8,6593.8,600.0,95.0,21,17.6
angular/angular,78,28,76,20,90,github,12.15,0.2,2036.8,600.0,95.0,1,0.0
remix-run/remix,68,21,74,9,90,github,13.57,36.9,1745.2,600.0,85.0,10,2.5
vitejs/vite,68,30,76,23,90,github,13.18,669.5,1151.7,600.0,95.0,26,13.5
remix-run/react-router,68,30,76,17,90,github,13.29,183.3,672.4,600.0,95.0,21,5.4
storybookjs/storybook,66,30,76,27,90,github,13.03,394.8,3281.4,600.0,95.0,33,15.0
nestjs/nest,84,3,76,16,90,github,13.42,16.0,0.0,600.0,95.0,4,1.3
withastro/astro,71,21,76,18,90,github,12.99,385.9,38.4,600.0,95.0,22,11.6
BuilderIO/qwik,71,29,74,8,90,github,18.57,96.1,5056.7,600.0,85.0,11,5.1
trpc/trpc,68,30,74,16,90,github,14.80,129.1,510.6,600.0,85.0,33,6.8
mui/material-ui,71,30,76,30,90,github,17.78,246.1,134.7,600.0,95.0,47,6.7
ant-design/ant-design,70,16,76,25,90,github,13.11,142.0,0.0,600.0,95.0,21,7.2
chakra-ui/chakra-ui,77,24,74,15,90,github,12.33,61.7,1628.5,600.0,85.0,28,4.2
mantinedev/mantine,73,14,74,18,90,github,13.78,87.4,5.9,600.0,85.0,55,5.7
radix-ui/primitives,63,30,77,11,90,github,14.38,994.8,4446.0,600.0,85.0,16,21.7
shadcn-ui/ui,71,31,76,24,90,github,11.72,15.0,6063.6,600.0,95.0,21,2.6
tailwindlabs/headlessui,77,15,80,11,90,github,12.14,562.4,0.0,600.0,85.0,13,11.8
react-bootstrap/react-bootstrap,62,29,75,10,90,github,13.22,405.9,3381.6,600.0,85.0,14,12.8
Semantic-Org/Semantic-UI-React,65,30,73,14,90,github,14.76,582.5,5484.5,600.0,75.0,29,27.8
palantir/blueprint,66,26,74,14,90,github,12.93,197.8,74.5,600.0,85.0,28,20.6
reduxjs/redux,84,5,77,25,90,github,14.47,22.3,0.0,600.0,95.0,49,13.9
reduxjs/redux-toolkit,71,30,74,12,90,github,12.73,635.9,8499.9,600.0,85.0,19,26.7
mobxjs/mobx,68,30,77,19,90,github,13.59,429.8,1766.1,600.0,85.0,38,29.5
pmndrs/zustand,82,8,81,19,90,github,13.98,47.4,0.0,600.0,95.0,33,5.7
pmndrs/jotai,76,17,78,10,90,github,13.47,116.1,0.0,600.0,85.0,22,5.4
pmndrs/valtio,85,9,77,5,90,github,13.03,50.9,0.0,543.5,70.0,11,1.6
TanStack/query,80,16,74,19,90,github,15.07,133.2,0.0,600.0,85.0,42,4.0
apollographql/apollo-client,70,30,74,8,90,github,14.46,335.6,16716.8,600.0,85.0,9,8.4
typeorm/typeorm,66,30,76,23,90,github,14.00,1397.5,52270.9,600.0,85.0,33,46.1
evanw/esbuild,66,15,76,17,90,github,12.92,741.5,0.0,600.0,75.0,28,15.3
swc-project/swc,72,29,73,11,90,github,15.39,91.9,748.3,600.0,75.0,18,2.5
prisma/prisma,68,25,74,13,90,github,15.23,65.4,7291.0,600.0,85.0,16,2.4
web-infra-dev/rspack,71,19,73,6,90,github,13.66,120.3,19.7,600.0,75.0,16,3.0
vercel/turbo,62,30,73,12,90,github,21.02,533.0,2254.6,600.0,75.0,18,13.3
testing-library/react-testing-library,72,30,79,10,90,github,13.13,466.1,3273.4,166.9,75.0,18,12.6
microsoft/playwright,79,5,76,18,90,github,16.78,29.6,0.0,600.0,95.0,11,0.7
vitest-dev/vitest,64,25,74,10,90,github,13.98,71.2,6704.3,600.0,85.0,20,13.2
nrwl/nx,72,30,74,10,90,github,13.64,183.7,2128.4,600.0,85.0,18,4.4
colinhacks/zod,76,15,77,17,90,github,13.74,99.0,0.0,600.0,85.0,38,3.2
typescript-eslint/typescript-eslint,71,30,74,10,90,github,13.34,302.5,4037.9,600.0,85.0,24,10.3
lerna/lerna,62,30,74,15,90,github,13.23,141.6,6435.0,600.0,85.0,23,12.4
mswjs/msw,72,30,79,15,90,github,13.54,1085.3,2479.2,600.0,85.0,17,40.3
react-hook-form/react-hook-form,67,29,76,19,90,github,14.41,265.8,224.7,600.0,85.0,35,17.1
TanStack/form,62,30,72,9,90,github,14.31,153.8,893.6,600.0,70.0,29,7.0
JedWatson/react-select,67,30,78,21,90,github,13.95,1865.8,11630.1,600.0,85.0,25,52.0
pmndrs/react-spring,57,30,74,19,90,github,13.85,940.1,2449.7,600.0,85.0,21,45.4
recharts/recharts,79,19,74,8,90,github,13.04,20.5,6269.2,600.0,85.0,10,0.9
clauderic/dnd-kit,77,15,79,11,90,github,13.61,97.5,0.0,600.0,85.0,21,19.7
floating-ui/floating-ui,71,23,74,10,90,github,12.34,56.9,2761.6,600.0,85.0,14,5.2
rjsf-team/react-jsonschema-form,71,34,74,8,90,github,14.04,29.1,6703.5,600.0,85.0,20,5.2
