project,date,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth
microsoft/TypeScript,2025-04-30T21:00:00.000Z,529.6695833333333,53.13305555555556,0.95,2.5,2.8210983734356403,26,1,600,2928288768,29282887.68,60,0.44199999999999995,95,33.962456018518516,0.7692307692307693,8,0.11904761904761904,106.339
microsoft/TypeScript,2025-05-31T21:00:00.000Z,529.6695833333333,53.13305555555556,0.95,2.5,2.8210983734356403,26,1,600,2928288768,29282887.68,60,0.44199999999999995,95,33.962456018518516,0.7692307692307693,8,0.11904761904761904,106.339
microsoft/TypeScript,2025-06-30T21:00:00.000Z,458.3075,53.13305555555556,0.95,2.5,18.34270658891683,22.2,1,600,2928288768,29282887.68,60,0.44199999999999995,95,31.647989004629625,0.75,8,0.11904761904761904,106.339
microsoft/TypeScript,2025-07-31T21:00:00.000Z,458.3075,53.13305555555556,0.95,2.5,18.34270658891683,22.2,1,600,2928288768,29282887.68,60,0.44199999999999995,95,31.647989004629625,0.7058823529411765,8,0.11904761904761904,106.339
microsoft/TypeScript,2025-08-31T21:00:00.000Z,458.3075,53.13305555555556,0.95,2.5,18.34270658891683,22.2,1,600,2928288768,29282887.68,60,0.44199999999999995,95,18.005828240740744,0.6410256410256411,14,0.10869565217391304,106.339
microsoft/TypeScript,2025-09-30T21:00:00.000Z,464.081917989418,11451.133333333333,0.95,2.5,0.22071226535248675,7.7,0.4,600,2928288768,29282887.68,60,0.44199999999999995,95,17.311349487785648,0.5802469135802469,20,0.12244897959183673,106.339
angular/angular,2025-04-30T21:00:00.000Z,,,0.95,2.5,,,,600,585945088,5859450.88,60,0.27,95,,,,,99.054
angular/angular,2025-05-31T21:00:00.000Z,,,0.95,2.5,,,,600,585945088,5859450.88,60,0.27,95,,,,,99.054
angular/angular,2025-06-30T21:00:00.000Z,,,0.95,2.5,,,,600,585945088,5859450.88,60,0.27,95,,,,,99.054
angular/angular,2025-07-31T21:00:00.000Z,,,0.95,2.5,,,,600,585945088,5859450.88,60,0.27,95,,,,,99.054
angular/angular,2025-08-31T21:00:00.000Z,,,0.95,2.5,,,,600,585945088,5859450.88,60,0.27,95,,,,,99.054
angular/angular,2025-09-30T21:00:00.000Z,15.709444444444443,2895.4737962962968,0.95,2.5,61.1097358277045,2,0.5,600,585945088,5859450.88,60,0.27,95,0.6545601851851852,0.04878048780487805,2,0.16666666666666666,99.054
remix-run/remix,2025-04-30T21:00:00.000Z,18.092222222222222,840.7045833333335,0.95,2.5,1.2712645089971135,3,1,600,68575232,685752.32,60,0.1693548387096774,85,3.913148148148148,0.5,1,1,31.709
remix-run/remix,2025-05-31T21:00:00.000Z,24.246388888888887,3103.370524691358,0.95,2.5,251.41888253691846,3,0.6666666666666666,600,68575232,685752.32,60,0.1693548387096774,85,1.722834201388889,0.1951219512195122,3,1,31.709
remix-run/remix,2025-06-30T21:00:00.000Z,48.1535,2793.037194444444,0.95,2.5,76.1315376867725,2.4,0.6,600,68575232,685752.32,60,0.1693548387096774,85,3.795586419753086,0.3620689655172414,5,1,31.709
remix-run/remix,2025-07-31T21:00:00.000Z,22.329143518518517,2221.7254700854696,0.95,2.5,165.4937337954156,1.7,0.6,600,68575232,685752.32,60,0.1693548387096774,85,2.8871395502645503,0.4,7,0.9285714285714286,31.709
remix-run/remix,2025-08-31T21:00:00.000Z,14.340583333333333,2065.735833333333,0.95,2.5,65.00781581409403,0.7,0.3,600,68575232,685752.32,60,0.1693548387096774,85,2.267383937757202,0.4235294117647059,10,0.875,31.709
remix-run/remix,2025-09-30T21:00:00.000Z,36.86667508417509,1854.9616666666664,0.95,2.5,17.18395136172955,0.2,0.3,600,68575232,685752.32,60,0.1693548387096774,85,2.456469671201814,0.49,10,0.8275862068965517,31.709
vitejs/vite,2025-04-30T21:00:00.000Z,30.022777777777776,,0.95,2.5,0.13323217557040026,13,1,600,59688960,596889.6,60,0.22777777777777775,95,1.250949074074074,0.5,1,,75.72
vitejs/vite,2025-05-31T21:00:00.000Z,30.022777777777776,,0.95,2.5,0.13323217557040026,13,1,600,59688960,596889.6,60,0.22777777777777775,95,1.250949074074074,0.5,1,,75.72
vitejs/vite,2025-06-30T21:00:00.000Z,30.022777777777776,,0.95,2.5,0.13323217557040026,13,1,600,59688960,596889.6,60,0.22777777777777775,95,1.250949074074074,0.5,1,,75.72
vitejs/vite,2025-07-31T21:00:00.000Z,30.022777777777776,,0.95,2.5,0.13323217557040026,13,1,600,59688960,596889.6,60,0.22777777777777775,95,1.250949074074074,0.5,1,,75.72
vitejs/vite,2025-08-31T21:00:00.000Z,30.022777777777776,,0.95,2.5,0.13323217557040026,13,1,600,59688960,596889.6,60,0.22777777777777775,95,0.43378086419753087,0.75,3,,75.72
vitejs/vite,2025-09-30T21:00:00.000Z,1365.025524691358,1641.9758333333334,0.95,2.5,0.1266561582633997,3.111111111111111,0.5555555555555556,600,59688960,596889.6,60,0.22777777777777775,95,18.231505537400142,0.7611940298507462,22,0.7878787878787878,75.72
remix-run/react-router,2025-04-30T21:00:00.000Z,191.22944444444445,29.96027777777778,0.95,2.5,0.4183456173938811,11,1,600,43982848,439828.48,60,0.1760869565217391,95,4.117118055555555,0.6666666666666666,2,0.5714285714285714,55.599
remix-run/react-router,2025-05-31T21:00:00.000Z,191.22944444444445,308.2204444444444,0.95,2.5,0.4183456173938811,11,1,600,43982848,439828.48,60,0.1760869565217391,95,4.117118055555555,0.6666666666666666,2,0.6666666666666666,55.599
remix-run/react-router,2025-06-30T21:00:00.000Z,191.22944444444445,308.2204444444444,0.95,2.5,0.4183456173938811,11,1,600,43982848,439828.48,60,0.1760869565217391,95,4.117118055555555,0.4,2,0.6363636363636364,55.599
remix-run/react-router,2025-07-31T21:00:00.000Z,191.22944444444445,308.2204444444444,0.95,2.5,0.4183456173938811,11,1,600,43982848,439828.48,60,0.1760869565217391,95,4.117118055555555,0.3333333333333333,2,0.5384615384615384,55.599
remix-run/react-router,2025-08-31T21:00:00.000Z,191.22944444444445,308.2204444444444,0.95,2.5,0.4183456173938811,11,1,600,43982848,439828.48,60,0.1760869565217391,95,6.3590061728395035,0.7142857142857143,8,0.5,55.599
remix-run/react-router,2025-09-30T21:00:00.000Z,236.7134461805555,594.5915555555556,0.95,2.5,0.3919559767180703,2.5,0.4,600,43982848,439828.48,60,0.1760869565217391,95,5.682564846524609,0.8111111111111111,19,0.65625,55.599
storybookjs/storybook,2025-04-30T21:00:00.000Z,19.21027777777778,2825.6931481481483,0.95,2.5,1.4991974782017727,1.2,0.4,600,1082465280,10824652.8,60,0.1875,95,2.3566070601851856,0.6896551724137931,13,0.375,87.919
storybookjs/storybook,2025-05-31T21:00:00.000Z,19.21027777777778,2232.2147222222225,0.95,2.5,1.4991974782017727,1.2,0.4,600,1082465280,10824652.8,60,0.1875,95,2.3566070601851856,0.6896551724137931,13,0.4,87.919
storybookjs/storybook,2025-06-30T21:00:00.000Z,26.75300925925926,2232.2147222222225,0.95,2.5,0.9656234587663207,1.5,0.3333333333333333,600,1082465280,10824652.8,60,0.1875,95,3.0856007996633,0.7096774193548387,15,0.45454545454545453,87.919
storybookjs/storybook,2025-07-31T21:00:00.000Z,209.97204861111112,2232.2147222222225,0.95,2.5,0.251819231891811,3.75,0.375,600,1082465280,10824652.8,60,0.1875,95,5.6533296296296305,0.7352941176470589,16,0.45454545454545453,87.919
storybookjs/storybook,2025-08-31T21:00:00.000Z,186.77274691358025,2232.2147222222225,0.95,2.5,0.25640190916636824,3.7777777777777777,0.3333333333333333,600,1082465280,10824652.8,60,0.1875,95,5.25610468106996,0.75,16,0.35714285714285715,87.919
storybookjs/storybook,2025-09-30T21:00:00.000Z,531.0135714285715,2232.2147222222225,0.95,2.5,0.28207511511005234,4.7,0.4,600,1082465280,10824652.8,60,0.1875,95,10.748296996124031,0.6615384615384615,23,0.25,87.919
nestjs/nest,2025-04-30T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,0.02060185185185185,1,1,0.5,72.991
nestjs/nest,2025-05-31T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,0.02060185185185185,1,1,0.42857142857142855,72.991
nestjs/nest,2025-06-30T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,0.02060185185185185,1,1,0.375,72.991
nestjs/nest,2025-07-31T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,0.02060185185185185,1,1,0.4444444444444444,72.991
nestjs/nest,2025-08-31T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,0.8555092592592592,1,2,0.4444444444444444,72.991
nestjs/nest,2025-09-30T21:00:00.000Z,0.49444444444444446,,0.95,2.5,16.179775280898877,4,,600,451402752,4514027.52,60,0.22499999999999998,95,2.115203072390572,0.75,4,0.4,72.991
withastro/astro,2025-04-30T21:00:00.000Z,13.974126984126986,,0.95,2.5,1.5675227461181092,4.8,0.7,600,206703616,2067036.16,60,0.18,95,0.9953551625753662,0.9247311827956989,21,0.6,53.748
withastro/astro,2025-05-31T21:00:00.000Z,13.97412698412698,,0.95,2.5,1.5675227461181098,4.8,0.7,600,206703616,2067036.16,60,0.18,95,1.0116597222222223,0.9139784946236559,19,0.6,53.748
withastro/astro,2025-06-30T21:00:00.000Z,13.974126984126986,,0.95,2.5,1.5675227461181092,4.8,0.7,600,206703616,2067036.16,60,0.18,95,1.0116597222222223,0.9139784946236559,19,0.6,53.748
withastro/astro,2025-07-31T21:00:00.000Z,13.974126984126986,,0.95,2.5,1.5675227461181092,4.8,0.7,600,206703616,2067036.16,60,0.18,95,1.0116597222222223,0.9139784946236559,19,0.6,53.748
withastro/astro,2025-08-31T21:00:00.000Z,13.974126984126986,,0.95,2.5,1.5675227461181092,4.8,0.7,600,206703616,2067036.16,60,0.18,95,1.0116597222222223,0.9139784946236559,19,0.6,53.748
withastro/astro,2025-09-30T21:00:00.000Z,13.974126984126986,,0.95,2.5,1.5675227461181092,4.8,0.7,600,206703616,2067036.16,60,0.18,95,1.0116597222222223,0.9139784946236559,19,0.6,53.748
