Feature,Importance
tp_testCoverage,0.83386564
avg_bi,0.10824189
dx_debuggingTime,0.021039704
dx_prIterationRate,0.014609385
bi_featureSuccessRate,0.004528262
tp_typeScriptErrorRate,0.00393122
tp_bundleSize,0.003848435
bi_activeContributors,0.003797007
dx_averageCommentsPerPR,0.0029468217
dx_efficiency,0.002002725
dx_linesChangedPerHour,0.00056875043
bi_issueResolutionRate,0.0004034178
dx_codeReviewDuration,0.00012095209
dx_tp_interaction,8.919386e-05
testCov_per_errorRate,6.6677535e-06
tp_performanceScore,0.0
tp_buildTime,0.0
dx_timeToFirstCommit,0.0
dx_successfulDeploymentsRatio,0.0
Cluster,0.0
dx_codeReviewDuration_squared,0.0
tp_bundleSize_log,0.0
dx_codeReviewDuration_log,0.0
confidence,0.0
