Feature,Importance
dx_tp_interaction,0.47531116
bi_featureSuccessRate,0.2676497
tp_typeScriptErrorRate,0.07289516
dx_prIterationRate,0.07071071
avg_bi,0.032605648
tp_bundleSize,0.014614479
dx_linesChangedPerHour,0.014069547
dx_codeReviewDuration,0.01336151
dx_efficiency,0.012429226
bi_activeContributors,0.007779014
dx_averageCommentsPerPR,0.0071840524
tp_testCoverage,0.0051708384
bi_issueResolutionRate,0.0034484745
dx_debuggingTime,0.0026109489
testCov_per_errorRate,0.00015953639
tp_performanceScore,0.0
tp_buildTime,0.0
dx_timeToFirstCommit,0.0
dx_successfulDeploymentsRatio,0.0
Cluster,0.0
dx_codeReviewDuration_squared,0.0
tp_bundleSize_log,0.0
dx_codeReviewDuration_log,0.0
confidence,0.0
