Feature,Importance
dx_codeReviewDuration,0.40501475
bi_issueResolutionRate,0.20495398
bi_activeContributors,0.084523164
tp_bundleSize,0.07963265
dx_tp_interaction,0.05847188
dx_debuggingTime,0.03786147
dx_linesChangedPerHour,0.036088318
dx_efficiency,0.02887657
dx_averageCommentsPerPR,0.02845957
bi_featureSuccessRate,0.02350671
testCov_per_errorRate,0.009775958
tp_typeScriptErrorRate,0.0022225643
dx_prIterationRate,0.00042345043
avg_bi,0.0001888759
dx_codeReviewDuration_squared,0.0
dx_codeReviewDuration_log,0.0
tp_bundleSize_log,0.0
confidence,0.0
Cluster,0.0
tp_performanceScore,0.0
tp_buildTime,0.0
dx_timeToFirstCommit,0.0
dx_successfulDeploymentsRatio,0.0
tp_testCoverage,0.0
