name,overallScore,confidence,collectedAt,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth,avg_dx,avg_tp,avg_bi
microsoft/TypeScript,57,90,2025-10-09T12:01:32.171Z,470.8465740740742,6593.842569444445,0.95,2.5,1.687289637854646,12.6,0.5,600.0,2928311296,29283112.96,60.0,0.43125,95,17.56643145794099,0.59,21,0.2625,106.321,1011.8466333080534,492932527.3985417,29.1479862915882
angular/angular,78,90,2025-10-09T12:01:51.165Z,0.2436111111111111,2036.8355555555556,0.95,2.5,94.4127708095781,0.0,0.0,600.0,585264128,5852641.28,60.0,0.26111111111111107,95,0.00562307098765432,0.06,1,0.5555555555555556,99.042,304.99170535374924,98519587.42351852,20.132635725308642
remix-run/remix,68,90,2025-10-02T08:05:01.497Z,36.86667508417509,1745.225524691358,0.95,2.5,3.7859600101466717,0.1,0.3,600.0,56610816,566108.16,60.0,0.16034482758620688,85,2.456469671201814,0.49,10,0.7931034482758621,31.692,255.67545139795425,9529611.553390803,9.086314623895536
vitejs/vite,68,90,2025-10-02T08:05:16.064Z,669.5185690235688,1151.726875,0.95,2.5,0.06227903395985101,2.4,0.7,600.0,59602944,596029.44,60.0,0.17903225806451611,95,13.476939553990608,0.71,26,0.5645161290322581,75.561,261.1225318653613,10033288.103172043,23.262491136604574
remix-run/react-router,68,90,2025-10-02T08:05:30.243Z,183.3248062015504,672.3727146464648,0.95,2.5,0.36204643767786243,2.7,0.6,600.0,43671552,436715.52,60.0,0.17790697674418604,95,5.446009466999052,0.78,21,0.6744186046511628,55.562,123.2585096122419,7351503.782984496,16.692485614330042
storybookjs/storybook,66,90,2025-10-02T08:05:44.532Z,394.82046296296295,3281.3514999999998,0.95,2.5,0.10046760588087271,6.6,0.6,600.0,1081166848,10811668.48,60.0,0.18,95,15.013291015625,0.64,33,0.2,87.87,526.7032043669776,181996545.27666667,27.344658203125004
nestjs/nest,84,90,2025-10-09T12:02:04.319Z,15.970069444444437,0.0,0.95,2.5,0.4508433745417863,1.4,0.0,600.0,443699200,4436992.0,60.0,0.23823529411764705,95,1.2516454231129859,0.79,4,0.6470588235294118,72.967,3.038701831283746,74689491.20637254,15.93114084932848
withastro/astro,71,90,2025-10-02T08:06:13.262Z,385.9310579196217,38.399027777777775,0.95,2.5,0.1130176501256862,5.0,0.6,600.0,206482432,2064824.32,60.0,0.1575,95,11.56654513888889,0.84,22,0.625,53.619,61.9275861925036,34758001.91291667,17.73010902777778
BuilderIO/qwik,71,90,2025-10-02T08:06:27.253Z,96.13494152046785,5056.698277777777,0.95,2.5,1.6166968031960434,3.1,0.5,600.0,62744576,627445.76,60.0,0.28,85,5.074989872685185,0.8,11,0.6333333333333333,21.702,737.3571308716344,10562127.84,7.842064641203703
trpc/trpc,68,90,2025-10-09T12:02:18.746Z,129.12643631436316,510.55911616161626,0.95,2.5,0.7933234069966296,7.2,0.6,600.0,54971392,549713.92,60.0,0.3214285714285714,85,6.825439814814813,0.82,33,0.2571428571428571,38.619,93.10412512613945,9253641.87357143,15.904316534391535
mui/material-ui,71,90,2025-10-02T08:07:00.944Z,246.14245555555553,134.72972222222222,0.95,2.5,0.16892656695957595,5.7,0.7,600.0,714881024,7148810.24,60.0,0.35,95,6.744064351851854,1.0,47,0.6666666666666666,96.715,55.84158633496247,120338431.59833334,30.425146203703708
ant-design/ant-design,70,90,2025-10-02T08:07:19.729Z,141.97487080103355,0.0,0.95,2.5,0.4974676615534559,10.6,0.8,600.0,243172352,2431723.52,60.0,0.1875,95,7.161035294423635,0.89,21,0.25,96.255,22.474619780369572,40934138.45125,25.111207058884723
chakra-ui/chakra-ui,77,90,2025-10-02T08:07:33.843Z,61.732325581395344,1628.4966666666667,0.95,2.5,0.5270315578510374,2.0,0.2,600.0,285070336,2850703.36,60.0,0.19615384615384615,85,4.214769345238095,0.84,28,0.9807692307692307,39.765,242.34371768655902,47986964.09269231,14.760107715201466
mantinedev/mantine,73,90,2025-10-02T08:07:47.176Z,87.35621273712738,5.903888888888889,0.95,2.5,0.10693530685384119,1.4,0.2,600.0,203544576,2035445.76,60.0,0.1764705882352941,85,5.686848668981481,0.8,55,0.8382352941176471,29.777,14.059576704695731,34263461.15607843,18.420416792619825
radix-ui/primitives,63,90,2025-10-02T08:08:01.959Z,994.7876058201063,4445.979259259259,0.95,2.5,0.0344174927771333,5.4,0.7,600.0,22098944,220989.44,78.419,0.1608433734939759,85,21.655008169934632,0.51,16,0.1927710843373494,17.953,778.6216117960203,3720116.1699738954,11.262155850854398
shadcn-ui/ui,71,90,2025-10-02T08:08:17.342Z,14.992048611111112,6063.613835125446,0.95,2.5,115.8780927852959,1.125,0.5,600.0,38243328,382433.28,62.653,0.19153846153846155,95,2.6354687500000007,0.3,21,0.3076923076923077,95.763,885.6512823602646,6437753.1874230765,24.00123221153846
tailwindlabs/headlessui,77,90,2025-10-02T08:08:30.068Z,562.3750877192983,0.0,0.95,2.5,0.04950807009618977,3.2,1.0,600.0,7260160,72601.6,92.91,0.1644578313253012,85,11.803094729344728,0.78,13,0.3253012048192771,28.0,81.43922796991352,1222256.6124096385,10.7816791868328
react-bootstrap/react-bootstrap,62,90,2025-10-02T08:08:43.209Z,405.9384578544061,3381.6253205128205,0.95,2.5,0.25874484352574534,0.2,0.1,600.0,33408000,334080.0,67.375,0.1891304347826087,85,12.78630583983106,0.57,14,0.6739130434782609,22.606,541.653217601536,5623805.427355072,10.127243776661865
Semantic-Org/Semantic-UI-React,65,90,2025-10-02T08:08:57.428Z,582.4987422839505,5484.46130952381,0.95,2.5,0.7601351653424464,6.9,0.8,600.0,210960384,2109603.84,60.0,0.319047619047619,75,27.78198032407409,0.8,29,0.2857142857142857,13.264,868.4100267104432,35511787.19317461,14.226338921957677
palantir/blueprint,66,90,2025-10-02T08:09:13.189Z,197.82041666666666,74.46055555555556,0.95,2.5,0.4087601900432983,3.4,0.6,600.0,203575296,2035752.96,60.0,0.15,85,20.63573688271605,0.75,28,0.18181818181818182,21.296,40.01996177318079,34268632.35166667,14.172711012906845
reduxjs/redux,84,90,2025-10-02T08:09:27.122Z,22.335222222222225,0.0,0.95,2.5,5.379395772496853,3.9,0.1,600.0,34868224,348682.24,65.949,0.19166666666666665,95,13.85484653078403,0.77,49,0.6666666666666666,61.346,5.02351685638844,5869611.230111112,25.12750263949014
reduxjs/redux-toolkit,71,90,2025-10-02T08:09:42.596Z,635.8725378787881,8499.854777777777,0.95,2.5,0.05586454070060614,5.2,0.7,600.0,43160576,431605.76,60.0,0.22397260273972602,85,26.714851753349084,0.94,19,0.5342465753424658,11.103,1306.447597171038,7265487.830662101,11.658419665738311
mobxjs/mobx,68,90,2025-10-02T08:09:56.332Z,429.8242613636364,1766.129099616858,0.95,2.5,0.23344635961816845,3.2,0.3,600.0,21677056,216770.56,78.831,0.22333333333333333,85,29.489669008088548,0.87,38,0.4888888888888889,28.056,314.733829620016,3649098.435722222,19.380911579395487
pmndrs/zustand,82,90,2025-10-02T08:10:10.926Z,47.38629629629631,0.0,0.95,2.5,1.7210789179556518,4.4,0.6,600.0,7809024,78090.24,92.374,0.2571428571428571,95,5.650510400365155,0.71,33,0.8571428571428571,54.939,8.222482173464567,1314650.3118571427,19.0313306515016
pmndrs/jotai,76,90,2025-10-02T08:10:25.907Z,116.05820906432743,0.0,0.95,2.5,1.1852038101217488,12.5,0.6,600.0,14820352,148203.52,85.527,0.15,85,5.449117398648647,0.74,22,1.0,20.557,19.11334469634988,2494887.6995,9.94922347972973
pmndrs/valtio,85,90,2025-10-02T08:10:40.376Z,50.9060725308642,0.0,0.95,2.5,1.5420557135380202,5.1,0.7,543.5,5565440,55654.4,94.565,0.27,70,1.5693100071225063,0.78,11,0.8,9.917,8.81401832062889,936967.1225,4.813262001424501
TanStack/query,80,90,2025-10-02T08:10:54.407Z,133.24328282828284,0.0,0.95,2.5,1.2110451869577066,5.9,0.3,600.0,95527936,955279.36,60.0,0.42000000000000004,85,4.036344543279235,0.89,42,0.3,46.84,20.586332573605794,16080660.13,18.813268908655846
apollographql/apollo-client,70,90,2025-10-02T08:11:10.483Z,335.5861111111111,16716.83361111111,0.95,2.5,0.02076872891616582,3.3,0.7,600.0,99578880,995788.8,60.0,0.19285714285714284,85,8.425738203957382,0.73,9,0.7380952380952381,19.651,2437.1272129930194,16762568.998809524,7.708966688410524
typeorm/typeorm,66,90,2025-10-09T12:02:34.555Z,1397.5345987654318,52270.8791954023,0.95,2.5,0.03842083372524557,5.9,0.7,600.0,32322560,323225.6,68.435,0.2965116279069767,85,46.05185525599128,0.68,33,0.18604651162790697,35.865,7668.357459285922,5441089.888585271,23.15658035352384
