Project,Metric,Slope
microsoft/TypeScript,dx_codeReviewDuration,-15.486416477702132
microsoft/TypeScript,tp_testCoverage,5.748573776684584e-15
microsoft/TypeScript,bi_timeToMarket,-3.7464404567713596
angular/angular,dx_codeReviewDuration,
angular/angular,tp_testCoverage,5.748573776684584e-15
angular/angular,bi_timeToMarket,
remix-run/remix,dx_codeReviewDuration,1.095156890331893
remix-run/remix,tp_testCoverage,7.664765035579445e-15
remix-run/remix,bi_timeToMarket,-0.18737685843186438
vitejs/vite,dx_codeReviewDuration,190.71467813051134
vitejs/vite,tp_testCoverage,5.748573776684584e-15
vitejs/vite,bi_timeToMarket,2.3557507910571625
remix-run/react-router,dx_codeReviewDuration,6.497714533730164
remix-run/react-router,tp_testCoverage,5.748573776684584e-15
remix-run/react-router,bi_timeToMarket,0.41579709447706037
storybookjs/storybook,dx_codeReviewDuration,92.71208328609218
storybookjs/storybook,tp_testCoverage,5.748573776684584e-15
storybookjs/storybook,bi_timeToMarket,1.520704896351854
nestjs/nest,dx_codeReviewDuration,0.0
nestjs/nest,tp_testCoverage,5.748573776684584e-15
nestjs/nest,bi_timeToMarket,0.37079223785473775
withastro/astro,dx_codeReviewDuration,1.9161912588948613e-15
withastro/astro,tp_testCoverage,5.748573776684584e-15
withastro/astro,bi_timeToMarket,0.002329222806693829
BuilderIO/qwik,dx_codeReviewDuration,
BuilderIO/qwik,tp_testCoverage,7.664765035579445e-15
BuilderIO/qwik,bi_timeToMarket,
trpc/trpc,dx_codeReviewDuration,
trpc/trpc,tp_testCoverage,7.664765035579445e-15
trpc/trpc,bi_timeToMarket,
mui/material-ui,dx_codeReviewDuration,3.8382604166666687
mui/material-ui,tp_testCoverage,5.748573776684584e-15
mui/material-ui,bi_timeToMarket,0.05651228961412173
ant-design/ant-design,dx_codeReviewDuration,-0.7798353174603045
ant-design/ant-design,tp_testCoverage,5.748573776684584e-15
ant-design/ant-design,bi_timeToMarket,0.6551219162103373
chakra-ui/chakra-ui,dx_codeReviewDuration,8.730027176527171
chakra-ui/chakra-ui,tp_testCoverage,7.664765035579445e-15
chakra-ui/chakra-ui,bi_timeToMarket,-3.2605972694633394
mantinedev/mantine,dx_codeReviewDuration,3.619258333333337
