Metric,ADF Statistic,p-value,Stationary,Critical Value (5%)
dx_codeReviewDuration,-1.9106812390155203,0.32705312301432077,No,-4.474365000000001
dx_debuggingTime,-0.35882058878964673,0.9167505627203913,No,-4.474365000000001
dx_linesChangedPerHour,-40.58752905682377,0.0,Yes,-3.9292800000000003
dx_averageCommentsPerPR,6.479410222181884,1.0,No,-4.474365000000001
dx_prIterationRate,-0.14538115685705483,0.9447265695786147,No,-3.9292800000000003
tp_testCoverage,-1.0000000000000002,0.7532643012005653,No,-3.9292800000000003
bi_timeToMarket,-2.4333307776441506,0.13254913946691288,No,-4.474365000000001
bi_featureSuccessRate,-1.3967887597575117,0.583814655504352,No,-3.9292800000000003
bi_activeContributors,1.9719131746362482,0.9986353247910268,No,-4.474365000000001
bi_issueResolutionRate,2.981143121848036,1.0,No,-4.474365000000001
