Project,Metric,Volatility (Std),Mean,CV %
microsoft/TypeScript,dx_codeReviewDuration,33.0230546680489,483.0572641093474,6.836260858003292
microsoft/TypeScript,bi_timeToMarket,7.205228684650543,27.756344629137118,25.958852943074074
microsoft/TypeScript,tp_testCoverage,0.0,95.0,0.0
angular/angular,dx_codeReviewDuration,,,
angular/angular,bi_timeToMarket,,,
angular/angular,tp_testCoverage,0.0,95.0,0.0
remix-run/remix,dx_codeReviewDuration,11.641482138623417,27.338085507856345,42.58338476290858
remix-run/remix,bi_timeToMarket,0.7947806286652739,2.8404269880856146,27.981026514641684
remix-run/remix,tp_testCoverage,0.0,85.0,0.0
vitejs/vite,dx_codeReviewDuration,497.52614870795213,252.5232355967078,197.02192850978918
vitejs/vite,bi_timeToMarket,6.396151729952931,3.9448471163156618,162.1394072155246
vitejs/vite,tp_testCoverage,0.0,95.0,0.0
remix-run/react-router,dx_codeReviewDuration,16.950886628443794,198.81011140046294,8.526169272296038
remix-run/react-router,bi_timeToMarket,0.9183971062406584,4.751673873597722,19.327864888700695
remix-run/react-router,tp_testCoverage,0.0,95.0,0.0
storybookjs/storybook,dx_codeReviewDuration,181.69688865915066,165.4886552946796,109.79416585119364
storybookjs/storybook,bi_timeToMarket,2.9190780698645464,4.909424371142882,59.45866254754025
storybookjs/storybook,tp_testCoverage,0.0,95.0,0.0
nestjs/nest,dx_codeReviewDuration,0.0,0.4944444444444444,0.0
nestjs/nest,bi_timeToMarket,0.7803939018026147,0.508853289842873,153.3632418970092
nestjs/nest,tp_testCoverage,0.0,95.0,0.0
withastro/astro,dx_codeReviewDuration,3.3232593448441795e-15,13.974126984126983,2.3781516717423734e-14
withastro/astro,bi_timeToMarket,0.006076350618928397,1.008942295614413,0.6022495682201624
withastro/astro,tp_testCoverage,0.0,95.0,0.0
BuilderIO/qwik,dx_codeReviewDuration,,,
BuilderIO/qwik,bi_timeToMarket,,,
BuilderIO/qwik,tp_testCoverage,0.0,85.0,0.0
trpc/trpc,dx_codeReviewDuration,,,
trpc/trpc,bi_timeToMarket,,,
trpc/trpc,tp_testCoverage,0.0,85.0,0.0
mui/material-ui,dx_codeReviewDuration,10.013046408182218,53.32558159722222,18.777191187172736
mui/material-ui,bi_timeToMarket,0.14742620799821837,8.996272639287998,1.6387476670547667
mui/material-ui,tp_testCoverage,0.0,95.0,0.0
ant-design/ant-design,dx_codeReviewDuration,2.034392244612463,98.61553935185185,2.062953017327142
ant-design/ant-design,bi_timeToMarket,2.315961800382377,4.712646446337104,49.14355080004897
ant-design/ant-design,tp_testCoverage,0.0,95.0,0.0
chakra-ui/chakra-ui,dx_codeReviewDuration,19.909718721450773,39.02422362514029,51.01887205418863
chakra-ui/chakra-ui,bi_timeToMarket,14.755666111045102,13.952359733245151,105.75749474037617
chakra-ui/chakra-ui,tp_testCoverage,0.0,85.0,0.0
mantinedev/mantine,dx_codeReviewDuration,7.684913868511232,81.2407337962963,9.459434337189087
mantinedev/mantine,bi_timeToMarket,2.364687690262919,4.428697758948131,53.394650503866416
mantinedev/mantine,tp_testCoverage,0.0,85.0,0.0
radix-ui/primitives,dx_codeReviewDuration,346.0501557159589,664.9819837595535,52.03902724695244
radix-ui/primitives,bi_timeToMarket,6.429471293765053,15.270555301480238,42.103716379860906
